question_id,topic,question_text,choice_A,choice_B,choice_C,choice_D,choice_E,choice_F,answer,question_type,nb_choices,nb_comments,url,page,explanation
92,1,"In order for Structured Streaming to reliably track the exact progress of the processing so that it can handle any kind of failure by restarting and/or reprocessing, which of the following two approaches is used by Spark to record the offset range of the data being processed in each trigger?",Checkpointing and Write-ahead Logs,Structured Streaming cannot record the offset range of the data being processed in each trigger.,Replayable Sources and Idempotent Sinks,Write-ahead Logs and Idempotent Sinks,Checkpointing and Idempotent Sinks,,A,single,5,28,https://www.examtopics.com/discussions/databricks/view/104770-exam-certified-data-engineer-associate-topic-1-question-27/,19,"La réponse correcte est A. Checkpointing et Write-ahead Logs. En Structured Streaming de Spark, le checkpointing est utilisé pour enregistrer l'état de la progression du traitement, ce qui permet de redémarrer le traitement à partir du dernier point de contrôle en cas de panne. Les Write-ahead Logs (journaux d'écriture anticipée) sont utilisés pour enregistrer les offsets des données traitées, garantissant ainsi que même en cas de défaillance, les données ne seront pas traitées deux fois. Les autres choix, comme les ""Replayable Sources"" et ""Idempotent Sinks"", ne sont pas directement impliqués dans l'enregistrement des offsets de données dans chaque déclencheur."
93,1,Which of the following describes the relationship between Gold tables and Silver tables?,Gold tables are more likely to contain aggregations than Silver tables.,Gold tables are more likely to contain valuable data than Silver tables.,Gold tables are more likely to contain a less refined view of data than Silver tables.,Gold tables are more likely to contain more data than Silver tables.,Gold tables are more likely to contain truthful data than Silver tables.,,A,single,5,20,https://www.examtopics.com/discussions/databricks/view/104772-exam-certified-data-engineer-associate-topic-1-question-28/,19,"Les tables Gold et Silver font partie d'une architecture de données en couches souvent utilisée dans les systèmes de traitement de données, comme dans le cadre de l'approche Delta Lake. Les tables Silver contiennent généralement des données nettoyées et transformées à partir des tables Bronze, qui contiennent des données brutes. Les tables Gold, quant à elles, sont souvent utilisées pour des analyses avancées et contiennent des agrégations et des résumés des données présentes dans les tables Silver. Ainsi, l'option A est correcte car les tables Gold sont plus susceptibles de contenir des agrégations que les tables Silver. Les autres options sont incorrectes car elles ne reflètent pas précisément la fonction et le niveau de transformation des données dans les tables Gold par rapport aux tables Silver."
94,1,Which of the following describes the relationship between Bronze tables and raw data?,Bronze tables contain less data than raw data files.,Bronze tables contain more truthful data than raw data.,Bronze tables contain aggregates while raw data is unaggregated.,Bronze tables contain a less refined view of data than raw data.,Bronze tables contain raw data with a schema applied.,,E,single,5,13,https://www.examtopics.com/discussions/databricks/view/104780-exam-certified-data-engineer-associate-topic-1-question-29/,19,"Les tables Bronze sont souvent utilisées dans les architectures de données en couches pour stocker les données brutes avec un schéma appliqué, ce qui correspond à la réponse E. Cela signifie que les données sont organisées et structurées pour faciliter leur traitement ultérieur, mais elles restent essentiellement brutes et non transformées. Contrairement aux choix A et D, les tables Bronze ne contiennent pas moins de données ni une vue moins raffinée que les fichiers de données brutes; elles contiennent simplement les données brutes avec une structure ajoutée. Les choix B et C sont incorrects car les tables Bronze ne modifient pas la véracité des données ni ne contiennent des agrégats."
95,1,Which of the following is hosted completely in the control plane of the classic Databricks architecture?,Worker node,JDBC data source,Databricks web application,Databricks Filesystem,Driver node,,C,single,5,36,https://www.examtopics.com/discussions/databricks/view/104049-exam-certified-data-engineer-associate-topic-1-question-3/,19,"Dans l'architecture classique de Databricks, le plan de contrôle est responsable de la gestion et de l'orchestration des ressources. L'application web de Databricks (choix C) est hébergée entièrement dans le plan de contrôle, car elle fournit l'interface utilisateur pour interagir avec la plateforme, gérer les clusters, et exécuter des tâches. En revanche, les nœuds de travail (choix A) et les nœuds de pilote (choix E) font partie du plan de données, où le traitement des données a lieu. Les sources de données JDBC (choix B) et le système de fichiers Databricks (choix D) sont également associés au plan de données, car ils sont impliqués dans le stockage et l'accès aux données."
96,1,Which of the following tools is used by Auto Loader process data incrementally?,Checkpointing,Spark Structured Streaming,Data Explorer,Unity Catalog,Databricks SQL,,B,single,5,14,https://www.examtopics.com/discussions/databricks/view/104781-exam-certified-data-engineer-associate-topic-1-question-30/,20,"La réponse correcte est B. Spark Structured Streaming. Spark Structured Streaming est un moteur de traitement de flux qui permet de traiter les données de manière incrémentielle et en temps réel. Auto Loader utilise Spark Structured Streaming pour détecter et traiter automatiquement les nouveaux fichiers ajoutés à un répertoire source, ce qui permet un traitement incrémentiel des données. Les autres choix, tels que A. Checkpointing, C. Data Explorer, D. Unity Catalog, et E. Databricks SQL, ne sont pas spécifiquement conçus pour le traitement de flux incrémentiel comme Spark Structured Streaming."
97,1,"A data engineer has configured a Structured Streaming job to read from a table, manipulate the data, and then perform a streaming write into a new table.
The cade block used by the data engineer is below:
//IMG//

If the data engineer only wants the query to execute a micro-batch to process data every 5 seconds, which of the following lines of code should the data engineer use to fill in the blank?","trigger(""5 seconds"")",trigger(),"trigger(once=""5 seconds"")","trigger(processingTime=""5 seconds"")","trigger(continuous=""5 seconds"")",,D,single,5,10,https://www.examtopics.com/discussions/databricks/view/104854-exam-certified-data-engineer-associate-topic-1-question-31/,20,"La réponse correcte est D. trigger(processingTime=""5 seconds""). En Structured Streaming de Spark, la méthode trigger() est utilisée pour définir la fréquence à laquelle les micro-lots sont traités. L'option processingTime spécifie que le traitement des micro-lots doit se faire à intervalles réguliers, ici toutes les 5 secondes. Les autres choix, comme A, B, C, et E, ne sont pas corrects car ils ne suivent pas la syntaxe appropriée pour définir un intervalle de temps de traitement dans Spark Structured Streaming. Par exemple, trigger(continuous=""5 seconds"") est incorrect car continuous est utilisé pour le mode de traitement continu, qui est différent du traitement par micro-lots."
98,1,"A dataset has been defined using Delta Live Tables and includes an expectations clause:
CONSTRAINT valid_timestamp EXPECT (timestamp > '2020-01-01') ON VIOLATION DROP ROW
What is the expected behavior when a batch of data containing data that violates these constraints is processed?",Records that violate the expectation are dropped from the target dataset and loaded into a quarantine table.,Records that violate the expectation are added to the target dataset and flagged as invalid in a field added to the target dataset.,Records that violate the expectation are dropped from the target dataset and recorded as invalid in the event log.,Records that violate the expectation are added to the target dataset and recorded as invalid in the event log.,Records that violate the expectation cause the job to fail.,,C,single,5,17,https://www.examtopics.com/discussions/databricks/view/104855-exam-certified-data-engineer-associate-topic-1-question-32/,20,"Dans le contexte des Delta Live Tables, une clause d'attente avec une contrainte comme `CONSTRAINT valid_timestamp EXPECT (timestamp > '2020-01-01') ON VIOLATION DROP ROW` signifie que les enregistrements qui ne respectent pas cette condition seront supprimés du jeu de données cible. La réponse C est correcte car ces enregistrements sont effectivement retirés du jeu de données cible et leur non-conformité est consignée dans le journal des événements. Contrairement à l'option A, les enregistrements ne sont pas chargés dans une table de quarantaine. Les options B et D sont incorrectes car les enregistrements non conformes ne sont pas ajoutés au jeu de données cible. Enfin, l'option E est incorrecte car la violation de la contrainte ne provoque pas l'échec de la tâche."
99,1,Which of the following describes when to use the CREATE STREAMING LIVE TABLE (formerly CREATE INCREMENTAL LIVE TABLE) syntax over the CREATE LIVE TABLE syntax when creating Delta Live Tables (DLT) tables using SQL?,CREATE STREAMING LIVE TABLE should be used when the subsequent step in the DLT pipeline is static.,CREATE STREAMING LIVE TABLE should be used when data needs to be processed incrementally.,CREATE STREAMING LIVE TABLE is redundant for DLT and it does not need to be used.,CREATE STREAMING LIVE TABLE should be used when data needs to be processed through complicated aggregations.,CREATE STREAMING LIVE TABLE should be used when the previous step in the DLT pipeline is static.,,B,single,5,9,https://www.examtopics.com/discussions/databricks/view/104856-exam-certified-data-engineer-associate-topic-1-question-33/,20,"La réponse correcte est B. CREATE STREAMING LIVE TABLE doit être utilisé lorsque les données doivent être traitées de manière incrémentielle. Cette syntaxe est spécifiquement conçue pour gérer les flux de données en continu, permettant ainsi un traitement en temps réel et une mise à jour continue des tables. Contrairement à CREATE LIVE TABLE, qui est utilisé pour des traitements par lots ou statiques, CREATE STREAMING LIVE TABLE est essentiel pour les cas où les données arrivent en continu et doivent être intégrées au fur et à mesure. Les autres choix, tels que A, C, D, et E, ne décrivent pas correctement l'utilisation de CREATE STREAMING LIVE TABLE dans le contexte des Delta Live Tables."
100,1,"A data engineer is designing a data pipeline. The source system generates files in a shared directory that is also used by other processes. As a result, the files should be kept as is and will accumulate in the directory. The data engineer needs to identify which files are new since the previous run in the pipeline, and set up the pipeline to only ingest those new files with each run.
Which of the following tools can the data engineer use to solve this problem?",Unity Catalog,Delta Lake,Databricks SQL,Data Explorer,Auto Loader,,E,single,5,9,https://www.examtopics.com/discussions/databricks/view/104857-exam-certified-data-engineer-associate-topic-1-question-34/,20,"La réponse correcte est E. Auto Loader. Auto Loader est un outil de Databricks conçu pour détecter et ingérer automatiquement les nouveaux fichiers dans un répertoire partagé, ce qui correspond précisément au besoin du data engineer de ne traiter que les fichiers nouveaux à chaque exécution du pipeline. Contrairement aux autres options, comme Unity Catalog (A), qui est utilisé pour la gestion des métadonnées, ou Delta Lake (B), qui est une solution de stockage de données, Auto Loader est spécifiquement conçu pour gérer l'ingestion incrémentielle de fichiers. Databricks SQL (C) et Data Explorer (D) ne sont pas adaptés pour cette tâche, car ils se concentrent respectivement sur l'exécution de requêtes SQL et l'exploration de données, et non sur l'ingestion de fichiers."
101,1,Which of the following Structured Streaming queries is performing a hop from a Silver table to a Gold table?,,,,E.,,,E,single,1,10,https://www.examtopics.com/discussions/databricks/view/104858-exam-certified-data-engineer-associate-topic-1-question-35/,21,"La réponse correcte est E. E car dans le contexte de l'architecture Delta Lake, les tables Silver et Gold représentent des niveaux de transformation des données. Une table Silver contient généralement des données nettoyées et enrichies, tandis qu'une table Gold contient des données agrégées et prêtes pour l'analyse. Un ""hop"" de Silver à Gold implique donc de transformer et d'agréger les données de la table Silver pour les stocker dans la table Gold. L'option E. E indique ce processus de transformation et d'agrégation, ce qui en fait la réponse correcte."
102,1,"A data engineer has three tables in a Delta Live Tables (DLT) pipeline. They have configured the pipeline to drop invalid records at each table. They notice that some data is being dropped due to quality concerns at some point in the DLT pipeline. They would like to determine at which table in their pipeline the data is being dropped.
Which of the following approaches can the data engineer take to identify the table that is dropping the records?",They can set up separate expectations for each table when developing their DLT pipeline.,They cannot determine which table is dropping the records.,They can set up DLT to notify them via email when records are dropped.,"They can navigate to the DLT pipeline page, click on each table, and view the data quality statistics.","They can navigate to the DLT pipeline page, click on the “Error” button, and review the present errors.",,D,single,5,11,https://www.examtopics.com/discussions/databricks/view/105325-exam-certified-data-engineer-associate-topic-1-question-36/,21,"La réponse correcte est D. Dans une pipeline Delta Live Tables (DLT), chaque table dispose de statistiques de qualité des données qui peuvent être consultées via la page du pipeline DLT. En cliquant sur chaque table, l'ingénieur de données peut voir combien d'enregistrements ont été rejetés à cause des problèmes de qualité des données. Cela permet d'identifier précisément à quel niveau les données sont supprimées. Les autres options, comme A et C, ne fournissent pas de méthode directe pour identifier la table spécifique qui rejette les enregistrements, tandis que B est incorrect car il est possible de déterminer où les données sont rejetées. L'option E n'est pas pertinente car elle ne se concentre pas sur les statistiques de qualité des données par table."
103,1,"A data engineer has a single-task Job that runs each morning before they begin working. After identifying an upstream data issue, they need to set up another task to run a new notebook prior to the original task.
Which of the following approaches can the data engineer use to set up the new task?",They can clone the existing task in the existing Job and update it to run the new notebook.,They can create a new task in the existing Job and then add it as a dependency of the original task.,They can create a new task in the existing Job and then add the original task as a dependency of the new task.,They can create a new job from scratch and add both tasks to run concurrently.,They can clone the existing task to a new Job and then edit it to run the new notebook.,,B,single,5,44,https://www.examtopics.com/discussions/databricks/view/105268-exam-certified-data-engineer-associate-topic-1-question-37/,21,"La réponse correcte est B. En créant une nouvelle tâche dans le Job existant et en l'ajoutant comme dépendance de la tâche originale, l'ingénieur de données garantit que la nouvelle tâche s'exécute avant la tâche originale. Cela permet de résoudre le problème en amont avant que la tâche initiale ne commence. Les autres options ne respectent pas cet ordre d'exécution nécessaire : par exemple, l'option A ne crée pas de dépendance entre les tâches, et l'option C inverse l'ordre des dépendances. L'option D exécuterait les tâches en parallèle, ce qui ne résoudrait pas le problème de dépendance, et l'option E ne maintient pas les tâches dans le même Job."
104,1,"An engineering manager wants to monitor the performance of a recent project using a Databricks SQL query. For the first week following the project’s release, the manager wants the query results to be updated every minute. However, the manager is concerned that the compute resources used for the query will be left running and cost the organization a lot of money beyond the first week of the project’s release.
Which of the following approaches can the engineering team use to ensure the query does not cost the organization any money beyond the first week of the project’s release?",They can set a limit to the number of DBUs that are consumed by the SQL Endpoint.,They can set the query’s refresh schedule to end after a certain number of refreshes.,They cannot ensure the query does not cost the organization money beyond the first week of the project’s release.,They can set a limit to the number of individuals that are able to manage the query’s refresh schedule.,They can set the query’s refresh schedule to end on a certain date in the query scheduler.,,E,single,5,25,https://www.examtopics.com/discussions/databricks/view/105269-exam-certified-data-engineer-associate-topic-1-question-38/,21,"La réponse correcte est E. Ils peuvent définir le calendrier de rafraîchissement de la requête pour qu'il se termine à une date précise dans le planificateur de requêtes. Cela permet de s'assurer que la requête ne continue pas à s'exécuter et à consommer des ressources au-delà de la première semaine, ce qui évite des coûts supplémentaires pour l'organisation. Les autres options ne répondent pas efficacement à la préoccupation du manager : A ne limite que l'utilisation des DBUs, B ne garantit pas l'arrêt après une semaine, C est incorrect car il existe des moyens de contrôler les coûts, et D ne contrôle pas directement le calendrier de rafraîchissement."
105,1,"A data analysis team has noticed that their Databricks SQL queries are running too slowly when connected to their always-on SQL endpoint. They claim that this issue is present when many members of the team are running small queries simultaneously. They ask the data engineering team for help. The data engineering team notices that each of the team’s queries uses the same SQL endpoint.
Which of the following approaches can the data engineering team use to improve the latency of the team’s queries?",They can increase the cluster size of the SQL endpoint.,They can increase the maximum bound of the SQL endpoint’s scaling range.,They can turn on the Auto Stop feature for the SQL endpoint.,They can turn on the Serverless feature for the SQL endpoint.,They can turn on the Serverless feature for the SQL endpoint and change the Spot Instance Policy to “Reliability Optimized.”,,B,single,5,32,https://www.examtopics.com/discussions/databricks/view/104898-exam-certified-data-engineer-associate-topic-1-question-39/,21,"La réponse correcte est B. En augmentant la limite maximale de l'échelle de l'endpoint SQL, l'équipe d'ingénierie des données permet à plus de ressources de calcul d'être allouées dynamiquement lorsque de nombreux membres de l'équipe exécutent des requêtes simultanément. Cela peut réduire la latence en permettant à l'endpoint de gérer une charge de travail plus importante. Les autres options, comme augmenter la taille du cluster (A) ou activer la fonctionnalité Serverless (D, E), ne ciblent pas directement le problème de la capacité de traitement simultané des requêtes. Activer la fonction Auto Stop (C) n'améliore pas la latence, mais plutôt la gestion des coûts en arrêtant les clusters inactifs."
106,1,Which of the following benefits of using the Databricks Lakehouse Platform is provided by Delta Lake?,The ability to manipulate the same data using a variety of languages,The ability to collaborate in real time on a single notebook,The ability to set up alerts for query failures,The ability to support batch and streaming workloads,The ability to distribute complex data operations,,D,single,5,17,https://www.examtopics.com/discussions/databricks/view/104733-exam-certified-data-engineer-associate-topic-1-question-4/,22,"Delta Lake, qui fait partie de la plateforme Databricks Lakehouse, offre la capacité de gérer à la fois des charges de travail par lots et en streaming, ce qui correspond au choix D. Cette fonctionnalité est essentielle pour les entreprises qui nécessitent une flexibilité dans le traitement des données, permettant une intégration fluide entre les données historiques et en temps réel. Les autres choix, tels que la manipulation de données avec divers langages (A), la collaboration en temps réel sur un notebook (B), la configuration d'alertes pour les échecs de requête (C), et la distribution d'opérations de données complexes (E), ne sont pas spécifiquement liés aux capacités distinctives de Delta Lake."
107,1,"A data engineer wants to schedule their Databricks SQL dashboard to refresh once per day, but they only want the associated SQL endpoint to be running when it is necessary.
Which of the following approaches can the data engineer use to minimize the total running time of the SQL endpoint used in the refresh schedule of their dashboard?",They can ensure the dashboard’s SQL endpoint matches each of the queries’ SQL endpoints.,They can set up the dashboard’s SQL endpoint to be serverless.,They can turn on the Auto Stop feature for the SQL endpoint.,They can reduce the cluster size of the SQL endpoint.,They can ensure the dashboard’s SQL endpoint is not one of the included query’s SQL endpoint.,,C,single,5,12,https://www.examtopics.com/discussions/databricks/view/104899-exam-certified-data-engineer-associate-topic-1-question-40/,22,"La réponse correcte est C. Activer la fonction d'arrêt automatique pour le point de terminaison SQL permet de minimiser le temps de fonctionnement total du point de terminaison SQL. Cette fonctionnalité arrête automatiquement le point de terminaison après une période d'inactivité, ce qui réduit les coûts en ne maintenant pas le point de terminaison actif plus longtemps que nécessaire. Les autres options, comme B (utiliser un point de terminaison sans serveur) ou D (réduire la taille du cluster), ne garantissent pas que le point de terminaison s'arrêtera automatiquement après l'exécution du tableau de bord. L'option A et E ne sont pas pertinentes pour réduire le temps de fonctionnement du point de terminaison."
108,1,"A data engineer has been using a Databricks SQL dashboard to monitor the cleanliness of the input data to an ELT job. The ELT job has its Databricks SQL query that returns the number of input records containing unexpected NULL values. The data engineer wants their entire team to be notified via a messaging webhook whenever this value reaches 100.
Which of the following approaches can the data engineer use to notify their entire team via a messaging webhook whenever the number of NULL values reaches 100?",They can set up an Alert with a custom template.,They can set up an Alert with a new email alert destination.,They can set up an Alert with a new webhook alert destination.,They can set up an Alert with one-time notifications.,They can set up an Alert without notifications.,,C,single,5,6,https://www.examtopics.com/discussions/databricks/view/104900-exam-certified-data-engineer-associate-topic-1-question-41/,22,"La réponse correcte est C. Ils peuvent configurer une alerte avec une nouvelle destination d'alerte webhook. En configurant une alerte avec une destination webhook, l'ingénieur de données peut envoyer automatiquement des notifications à un service de messagerie ou de collaboration lorsque le nombre de valeurs NULL atteint 100. Contrairement à l'option B, qui utilise des alertes par e-mail, l'option C permet l'intégration directe avec des systèmes de messagerie via des webhooks, ce qui est idéal pour notifier toute l'équipe. Les options A, D et E ne fournissent pas le mécanisme nécessaire pour envoyer des notifications via un webhook."
109,1,"A single Job runs two notebooks as two separate tasks. A data engineer has noticed that one of the notebooks is running slowly in the Job’s current run. The data engineer asks a tech lead for help in identifying why this might be the case.
Which of the following approaches can the tech lead use to identify why the notebook is running slowly as part of the Job?",They can navigate to the Runs tab in the Jobs UI to immediately review the processing notebook.,They can navigate to the Tasks tab in the Jobs UI and click on the active run to review the processing notebook.,They can navigate to the Runs tab in the Jobs UI and click on the active run to review the processing notebook.,There is no way to determine why a Job task is running slowly.,They can navigate to the Tasks tab in the Jobs UI to immediately review the processing notebook.,,C,single,5,11,https://www.examtopics.com/discussions/databricks/view/105272-exam-certified-data-engineer-associate-topic-1-question-42/,22,"La réponse correcte est C. Ils peuvent naviguer vers l'onglet ""Runs"" dans l'interface utilisateur des Jobs et cliquer sur l'exécution active pour examiner le notebook en cours de traitement. Cette approche permet au tech lead d'accéder aux détails spécifiques de l'exécution actuelle du Job, y compris les journaux et les métriques de performance qui peuvent aider à identifier les causes du ralentissement. Les autres options, comme A et E, ne permettent pas d'accéder directement aux détails de l'exécution active, tandis que D est incorrect car il existe effectivement des moyens d'analyser les performances d'une tâche de Job. L'option B mentionne l'onglet ""Tasks"", mais c'est l'onglet ""Runs"" qui fournit les informations nécessaires pour diagnostiquer le problème."
110,1,"A data engineer has a Job with multiple tasks that runs nightly. Each of the tasks runs slowly because the clusters take a long time to start.
Which of the following actions can the data engineer perform to improve the start up time for the clusters used for the Job?",They can use endpoints available in Databricks SQL,They can use jobs clusters instead of all-purpose clusters,They can configure the clusters to be single-node,They can use clusters that are from a cluster pool,They can configure the clusters to autoscale for larger data sizes,,D,single,5,11,https://www.examtopics.com/discussions/databricks/view/104901-exam-certified-data-engineer-associate-topic-1-question-43/,22,"Utiliser des clusters provenant d'un pool de clusters (choix D) est la solution correcte pour améliorer le temps de démarrage des clusters. Les pools de clusters permettent de réduire le temps de démarrage en pré-allouant des instances de calcul prêtes à l'emploi, ce qui évite le temps d'attente nécessaire pour provisionner de nouvelles instances. Contrairement aux clusters à usage général (choix B) ou aux clusters à nœud unique (choix C), les pools de clusters sont spécifiquement conçus pour optimiser le temps de démarrage. Les points de terminaison de Databricks SQL (choix A) et l'autoscaling (choix E) ne traitent pas directement le problème de la lenteur du démarrage initial des clusters."
111,1,"A new data engineering team team. has been assigned to an ELT project. The new data engineering team will need full privileges on the database customers to fully manage the project.
Which of the following commands can be used to grant full permissions on the database to the new data engineering team?",GRANT USAGE ON DATABASE customers TO team;,GRANT ALL PRIVILEGES ON DATABASE team TO customers;,GRANT SELECT PRIVILEGES ON DATABASE customers TO teams;,GRANT SELECT CREATE MODIFY USAGE PRIVILEGES ON DATABASE customers TO team;,GRANT ALL PRIVILEGES ON DATABASE customers TO team;,,E,single,5,12,https://www.examtopics.com/discussions/databricks/view/104902-exam-certified-data-engineer-associate-topic-1-question-44/,23,"La réponse correcte est E. GRANT ALL PRIVILEGES ON DATABASE customers TO team; car cette commande accorde toutes les permissions nécessaires à l'équipe d'ingénierie des données sur la base de données ""customers"". Cela inclut la possibilité de lire, écrire, modifier et gérer la base de données, ce qui est essentiel pour un projet ELT. Les autres options ne sont pas correctes : A ne donne que l'accès de base (usage), B inverse les rôles de la base de données et de l'équipe, C ne donne que des privilèges de sélection, et D mentionne des privilèges qui ne sont pas syntaxiquement corrects ou complets."
112,1,"A new data engineering team has been assigned to work on a project. The team will need access to database customers in order to see what tables already exist. The team has its own group team.
Which of the following commands can be used to grant the necessary permission on the entire database to the new team?",GRANT VIEW ON CATALOG customers TO team;,GRANT CREATE ON DATABASE customers TO team;,GRANT USAGE ON CATALOG team TO customers;,GRANT CREATE ON DATABASE team TO customers;,GRANT USAGE ON DATABASE customers TO team;,,E,single,5,24,https://www.examtopics.com/discussions/databricks/view/104870-exam-certified-data-engineer-associate-topic-1-question-45/,23,"La commande correcte est E. GRANT USAGE ON DATABASE customers TO team; car elle accorde au groupe ""team"" l'accès nécessaire pour visualiser les tables existantes dans la base de données ""customers"". La permission USAGE sur une base de données permet aux utilisateurs de voir les objets de la base de données sans leur accorder de droits supplémentaires comme la création ou la modification de tables. Les autres options, comme A et C, sont incorrectes car elles se réfèrent à des permissions sur le catalogue, et B et D sont incorrectes car elles concernent des permissions de création qui ne sont pas nécessaires pour simplement visualiser les tables existantes."
113,1,"A data engineer is running code in a Databricks Repo that is cloned from a central Git repository. A colleague of the data engineer informs them that changes have been made and synced to the central Git repository. The data engineer now needs to sync their Databricks Repo to get the changes from the central Git repository.

Which of the following Git operations does the data engineer need to run to accomplish this task?",Merge,Push,Pull,Commit,Clone,,C,single,5,3,https://www.examtopics.com/discussions/databricks/view/124124-exam-certified-data-engineer-associate-topic-1-question-46/,23,"Pour synchroniser le dépôt Databricks avec les modifications du dépôt Git central, l'ingénieur de données doit utiliser l'opération ""Pull"" (choix C). Cette opération permet de récupérer les dernières modifications du dépôt distant et de les intégrer dans le dépôt local. Contrairement à ""Push"" (choix B), qui envoie des modifications locales vers le dépôt distant, ""Pull"" est spécifiquement conçu pour mettre à jour le dépôt local avec les changements externes. ""Merge"" (choix A) est utilisé pour combiner des branches, ""Commit"" (choix D) pour enregistrer des modifications localement, et ""Clone"" (choix E) pour créer une copie initiale d'un dépôt, ce qui n'est pas nécessaire dans ce contexte."
114,1,Which of the following is a benefit of the Databricks Lakehouse Platform embracing open source technologies?,Cloud-specific integrations,Simplified governance,Ability to scale storage,Ability to scale workloads,Avoiding vendor lock-in,,E,single,5,6,https://www.examtopics.com/discussions/databricks/view/124066-exam-certified-data-engineer-associate-topic-1-question-47/,23,"La plateforme Databricks Lakehouse adopte des technologies open source, ce qui permet d'éviter le verrouillage par un fournisseur (vendor lock-in). En utilisant des standards ouverts, les utilisateurs ne sont pas dépendants d'un fournisseur unique pour leurs solutions technologiques, ce qui leur offre plus de flexibilité et la possibilité de migrer vers d'autres plateformes si nécessaire. Les autres choix, tels que les intégrations spécifiques au cloud (A), la gouvernance simplifiée (B), et la capacité à évoluer en termes de stockage (C) et de charges de travail (D), ne sont pas directement liés à l'utilisation de technologies open source."
115,1,"A data engineer needs to use a Delta table as part of a data pipeline, but they do not know if they have the appropriate permissions.

In which of the following locations can the data engineer review their permissions on the table?",Databricks Filesystem,Jobs,Dashboards,Repos,Data Explorer,,E,single,5,4,https://www.examtopics.com/discussions/databricks/view/124368-exam-certified-data-engineer-associate-topic-1-question-48/,23,"Le choix correct est E. Data Explorer. Data Explorer est un outil dans Databricks qui permet aux utilisateurs de visualiser et de gérer les métadonnées des tables, y compris les permissions associées. Contrairement aux autres options, telles que Databricks Filesystem (A), Jobs (B), Dashboards (C), et Repos (D), qui sont destinées respectivement au stockage de fichiers, à l'exécution de tâches, à la visualisation de données et à la gestion de code source, Data Explorer est spécifiquement conçu pour gérer et examiner les détails des tables de données, y compris les autorisations d'accès."
116,1,Which of the following describes a scenario in which a data engineer will want to use a single-node cluster?,When they are working interactively with a small amount of data,When they are running automated reports to be refreshed as quickly as possible,When they are working with SQL within Databricks SQL,When they are concerned about the ability to automatically scale with larger data,When they are manually running reports with a large amount of data,,A,single,5,4,https://www.examtopics.com/discussions/databricks/view/124125-exam-certified-data-engineer-associate-topic-1-question-49/,24,"La réponse correcte est A. Lorsqu'un ingénieur de données travaille de manière interactive avec une petite quantité de données, un cluster à nœud unique est approprié car il est plus économique et plus simple à gérer pour des tâches de petite envergure. Les clusters à nœud unique ne sont pas idéaux pour les rapports automatisés nécessitant une actualisation rapide (réponse B) ou pour le traitement de grandes quantités de données (réponse E), car ils manquent de la puissance de calcul nécessaire. De plus, ils ne sont pas conçus pour évoluer automatiquement avec des volumes de données plus importants (réponse D). Enfin, bien que le travail avec SQL dans Databricks SQL (réponse C) puisse être effectué sur un cluster à nœud unique, ce n'est pas une raison spécifique pour choisir ce type de cluster."
117,1,Which of the following describes the storage organization of a Delta table?,"Delta tables are stored in a single file that contains data, history, metadata, and other attributes.",Delta tables store their data in a single file and all metadata in a collection of files in a separate location.,"Delta tables are stored in a collection of files that contain data, history, metadata, and other attributes.",Delta tables are stored in a collection of files that contain only the data stored within the table.,Delta tables are stored in a single file that contains only the data stored within the table.,,C,single,5,20,https://www.examtopics.com/discussions/databricks/view/104735-exam-certified-data-engineer-associate-topic-1-question-5/,24,"Les tables Delta sont conçues pour tirer parti du stockage distribué et sont donc stockées sous forme d'une collection de fichiers, ce qui est décrit par le choix C. Ces fichiers incluent non seulement les données elles-mêmes, mais aussi l'historique des transactions, les métadonnées, et d'autres attributs nécessaires pour garantir l'intégrité et la gestion des versions des données. Contrairement aux choix A et E, les tables Delta ne sont pas contenues dans un seul fichier. De plus, contrairement au choix D, elles ne contiennent pas uniquement les données, mais aussi des informations supplémentaires essentielles pour la gestion des transactions et des versions."
118,1,"A data engineer has been given a new record of data:

id STRING = 'a1'
rank INTEGER = 6
rating FLOAT = 9.4

Which of the following SQL commands can be used to append the new record to an existing Delta table my_table?","INSERT INTO my_table VALUES ('a1', 6, 9.4)","my_table UNION VALUES ('a1', 6, 9.4)","INSERT VALUES ( 'a1' , 6, 9.4) INTO my_table","UPDATE my_table VALUES ('a1', 6, 9.4)","UPDATE VALUES ('a1', 6, 9.4) my_table",,A,single,5,5,https://www.examtopics.com/discussions/databricks/view/124370-exam-certified-data-engineer-associate-topic-1-question-50/,24,"La commande correcte pour ajouter un nouvel enregistrement à une table Delta existante est ""INSERT INTO my_table VALUES ('a1', 6, 9.4)"", ce qui correspond au choix A. Cette commande SQL insère directement les valeurs spécifiées dans la table désignée. Le choix B, ""my_table UNION VALUES ('a1', 6, 9.4)"", est incorrect car UNION est utilisé pour combiner les résultats de deux requêtes SELECT, pas pour insérer des données. Les choix C, D, et E utilisent une syntaxe incorrecte pour l'insertion ou la mise à jour de données dans une table SQL, car ils ne respectent pas la structure syntaxique standard des commandes SQL pour ces opérations."
